date,price
2024-04-10,6854
2024-04-11,6856
2024-04-12,6854
2024-04-13,6852
2024-04-14,6852
2024-04-15,6858
2024-04-16,6860
2024-04-17,6860
2024-04-18,6864
2024-04-19,6868
2024-04-20,6871
2024-04-21,6872
2024-04-22,6870
2024-04-23,6868
2024-04-24,6864
2024-04-25,6857
2024-04-26,6851
2024-04-27,6842
2024-04-28,6834
2024-04-29,6827
2024-04-30,5071
2024-05-01,4903
2024-05-02,4897
2024-05-03,4892
2024-05-04,4895
2024-05-05,4892
2024-05-06,4910
2024-05-07,4928
2024-05-08,4947
2024-05-09,4965
2024-05-10,4984
2024-05-11,5002
2024-05-12,5021
2024-05-13,5021
2024-05-14,5022
2024-05-15,5019
2024-05-16,5020
2024-05-17,5021
2024-05-18,5048
2024-05-19,5074
2024-05-20,5095
2024-05-21,5096
2024-05-22,5118
2024-05-23,5118
2024-05-24,5119
2024-05-25,5120
2024-05-26,5120
